codi_barri,poblacio_total,espanya,no_consta_x,resta_de_la_uni_europea,resta_del_mn,amrica_central,amrica_del_nord,amrica_del_sud,austrlia_i_nova_zelanda,carib,europa_meridional,europa_occidental,europa_oriental,europa_septentrional,no_consta_y,frica_central,frica_meridional,frica_occidental,frica_oriental,frica_septentrional,sia_central,sia_meridional,sia_occidental,sia_oriental,sia_sudoriental,estudis_superiors_espanya,estudis_superiors_ue,estudis_superiors_mon,estudis_inferiors_espanya,estudis_inferiors_ue,estudis_inferiors_mon,joves_espanya,joves_no_consta,joves_resta_de_la_uni_europea,joves_resta_del_mn,joves_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
42,542,452,0,10,81,8,0,25,0,4,455,4,8,4,0,0,0,4,0,8,0,45,0,0,0,104,4,10,90,4,26,156,0,16,48,220,0.16605166051660514,0.01845018450184502,0.8339483394833949,0.4059040590405904,0.2177121771217712
43,26469,23831,0,644,1998,200,26,672,4,212,24055,125,368,60,0,24,0,60,8,202,4,146,114,141,56,3923,180,740,5706,119,629,4557,0,255,1471,6283,0.09966375760323398,0.025312629868903244,0.900336242396766,0.23737202009898373,0.18296875590313197
44,25444,22361,8,509,2572,193,8,1219,4,192,22551,107,324,35,4,4,0,38,4,111,8,135,197,318,8,3621,170,792,4905,88,911,4027,4,253,2007,6291,0.12116805533721109,0.020319132211916367,0.8788319446627889,0.2472488602421003,0.1801210501493476
45,24299,21045,4,383,2873,186,8,1179,4,233,21178,72,271,41,4,10,4,93,8,273,8,219,282,219,23,2495,100,689,5815,80,1107,3778,4,170,2110,6062,0.13391497592493518,0.01609119716860776,0.8660850240750648,0.24947528704884975,0.13514959463352402
46,15328,12225,0,239,2866,157,8,1320,0,337,12294,59,186,22,0,8,4,31,0,220,4,343,247,102,0,1003,61,577,3574,46,1139,1761,0,90,2104,3955,0.20243997912317324,0.0161143006263048,0.7975600208768268,0.25802453027139877,0.10705897703549061
47,2275,2113,0,33,130,4,4,47,0,12,2129,8,13,8,0,0,0,8,0,38,0,13,4,8,4,130,6,28,699,14,57,477,0,24,84,585,0.0712087912087912,0.016263736263736263,0.9287912087912088,0.2571428571428571,0.07208791208791208
48,15097,14033,0,219,847,97,8,372,0,47,14125,35,174,20,0,8,0,20,0,36,4,29,59,64,10,1823,45,358,3630,42,291,2425,0,74,714,3213,0.07047757832681989,0.015036099887394846,0.9295224216731801,0.21282373981585745,0.14744651255216268
49,6952,6673,0,64,221,22,4,84,0,14,6695,9,61,8,0,4,0,20,4,10,0,9,11,10,8,583,16,81,2101,19,86,1345,0,32,165,1542,0.04013233601841193,0.009781357882623706,0.9598676639815881,0.2218066743383199,0.09781357882623705
50,15400,12467,0,383,2550,696,8,725,0,106,12559,43,342,24,0,25,0,109,0,250,4,342,78,84,12,539,63,373,4056,97,1084,2514,0,186,1778,4478,0.19045454545454543,0.02538961038961039,0.8095454545454546,0.2907792207792208,0.0633116883116883
51,12226,10161,4,230,1834,445,4,582,0,140,10230,40,213,8,4,14,0,44,4,111,0,145,92,143,13,690,45,327,3296,57,656,1845,4,107,1292,3248,0.16890233927695075,0.019139538688041878,0.8310976607230492,0.26566334042205136,0.08686406019957468
52,25974,22595,12,362,3021,409,10,1183,4,157,22700,60,276,30,8,10,4,124,4,191,8,258,221,302,33,1794,88,533,6970,68,1250,4137,4,162,2248,6551,0.13009163009163005,0.014322014322014322,0.86990836990837,0.2522137522137522,0.09297759297759298
53,7335,6046,0,99,1194,112,0,261,0,65,6075,17,134,8,0,18,0,75,4,139,0,252,154,25,8,203,14,200,2007,31,512,1102,0,43,774,1919,0.17573278800272663,0.013496932515337423,0.8242672119972734,0.26162235855487387,0.05685071574642127
54,2734,2302,0,49,383,17,0,124,0,24,2329,8,31,8,0,8,0,24,0,132,4,31,0,8,8,78,7,80,729,19,181,522,0,29,242,793,0.15801024140453546,0.017922457937088514,0.8419897585954645,0.2900512070226774,0.060351133869787854
55,10239,7373,0,197,2669,331,4,633,4,234,7417,30,194,11,0,15,0,400,8,357,8,518,40,41,11,222,9,268,2320,47,1356,1145,0,64,1794,3003,0.2799101474753394,0.019630823322590096,0.7200898525246606,0.29329036038675654,0.04873522804961422
56,1334,1170,0,35,129,10,8,22,0,8,1182,13,20,0,0,8,0,4,0,31,0,32,0,15,0,67,6,22,371,14,76,292,0,29,68,389,0.12293853073463268,0.03223388305847077,0.8770614692653673,0.29160419790104947,0.0712143928035982
57,10068,7255,0,240,2573,102,4,519,0,103,7317,35,197,10,0,9,0,146,0,562,8,914,74,62,13,391,34,283,1930,54,1361,1360,0,109,1622,3091,0.27940007945967427,0.024235200635677395,0.7205999205403257,0.30701231624950337,0.07032181168057211
58,2482,2226,0,32,224,4,0,59,0,8,2233,10,41,4,0,0,0,14,4,81,0,18,10,8,4,55,7,53,734,13,110,529,0,16,147,692,0.10314262691377918,0.0128928283642224,0.8968573730862208,0.27880741337630943,0.04633360193392425
59,12560,10972,4,237,1350,79,4,454,0,47,11049,33,213,11,4,9,0,80,0,175,0,268,39,95,9,951,42,233,2858,81,605,2246,0,98,914,3258,0.1264331210191083,0.019187898089171974,0.8735668789808917,0.25939490445859875,0.09761146496815287
60,56491,52539,0,838,3121,234,39,1292,8,183,52881,193,434,79,0,11,4,59,4,293,8,210,145,414,17,9528,324,1171,10130,106,1130,11398,0,400,2431,14229,0.06995804641447312,0.015524596838434442,0.9300419535855269,0.25188083057478183,0.1951284275371298
61,28899,25423,0,612,2864,237,16,1295,4,218,25674,140,374,53,0,8,0,37,0,134,8,118,156,406,33,4205,205,1032,5163,60,972,4926,0,283,2429,7638,0.12028097858057374,0.021730855738952906,0.8797190214194263,0.26429980276134124,0.1883110142219454
62,14046,12280,0,334,1432,90,10,565,4,81,12395,68,279,32,0,4,0,16,4,94,9,92,123,194,4,2172,105,494,2434,42,489,2241,0,164,1092,3497,0.1257297451231667,0.024490958279937348,0.8742702548768333,0.24896767763064218,0.19728036451658834
63,21966,19079,24,600,2281,114,16,965,4,151,19332,108,328,58,8,8,0,58,4,120,0,100,140,444,19,3432,217,823,3514,70,824,3485,12,292,1834,5623,0.13143039242465626,0.02804333970681963,0.8685696075753437,0.25598652462897203,0.2035873622871711
64,38168,32406,12,1587,4172,224,34,1814,8,256,33073,452,511,231,8,9,0,66,0,382,4,312,143,579,74,6591,695,1824,5756,111,1407,6434,12,795,3507,10748,0.15096415845734645,0.042470132047788725,0.8490358415426535,0.2815971494445609,0.23868161810941102
65,26932,23363,12,1021,2544,131,32,947,8,117,23804,229,412,130,8,4,4,37,8,313,8,178,125,446,12,4244,404,1034,4140,91,956,4667,8,519,2005,7199,0.13251893658101888,0.03909847022129809,0.8674810634189811,0.2673028367740977,0.21097579088073667
66,14713,11808,20,1178,1721,96,74,500,9,61,12303,358,314,174,8,8,4,56,8,180,11,139,67,331,30,2579,537,996,1985,77,486,2585,12,623,1464,4684,0.19744443689254398,0.08509481410997077,0.802555563107456,0.3183579147692517,0.2794807313260382
67,9331,7826,0,934,571,30,65,199,6,12,8199,360,179,148,0,0,0,8,4,25,4,29,16,52,8,2821,508,665,426,27,93,1349,0,349,498,2196,0.16129032258064513,0.1070624799056907,0.8387096774193549,0.23534455042332011,0.42803558032365235
68,33437,27881,12,2553,3000,158,106,938,20,81,28920,884,555,395,8,8,4,72,8,239,18,489,112,412,24,5472,1171,1675,4845,129,966,5611,4,1206,2464,9285,0.1661632323473996,0.07952268445135628,0.8338367676526004,0.2776863953105841,0.24876633669288511
69,13374,11131,8,1088,1153,43,42,316,8,13,11532,382,457,197,4,0,8,21,4,103,13,55,50,129,13,2727,476,898,1488,42,255,2339,4,387,877,3607,0.16771347390459102,0.0844922984896067,0.832286526095409,0.2697024076566472,0.3066397487662629
70,22844,17336,0,592,4916,146,12,776,4,153,17531,91,610,39,0,8,0,231,4,473,17,2321,113,304,18,1069,120,720,5182,143,2443,3214,4,289,3059,6566,0.24111364034319738,0.026440203116792155,0.7588863596568026,0.2874277709683068,0.08356680091052356
71,20163,17654,4,754,1756,95,27,542,4,86,17963,201,346,79,4,10,4,46,4,234,0,214,91,223,4,2690,316,759,3610,70,621,3953,0,339,1355,5647,0.1244358478401032,0.03873431533006001,0.8755641521598968,0.28006745028021623,0.1867281654515697
72,25971,23267,0,598,2106,122,9,841,4,162,23511,96,387,40,0,13,0,27,8,115,8,131,94,402,14,3028,185,684,5806,77,820,4206,4,270,1644,6124,0.1041161295290901,0.023372222863963652,0.8958838704709099,0.2358014708713565,0.150051981055793
73,28727,25768,4,503,2458,100,9,813,4,145,25931,79,459,31,4,11,0,86,8,175,4,245,92,524,19,2308,115,616,7498,104,989,4829,4,226,1746,6805,0.10300414244439027,0.017822954015386222,0.8969958575556097,0.23688516030215476,0.10578897900929439
