codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_poblacio_total,delta_import_euros,delta_index_gini,delta_total_incidents_1000_hab,delta_locals_restauracio_1000_hab,delta_locals_sanitaris_1000_hab,delta_locals_serveis_professionals_1000_hab,delta_preu_mitja_m2,delta_pisos_turistics_1000_hab,cluster
40,0.7918711775933938,0.7371855649801987,0.2331061913550873,0.4057535160552822,0.0263836540368974,0.2368421052631578,-0.0059574468085106,0.1352140698874367,0.1241860188516548,1.1921627367607266,-0.025705450328566,0.3663366336633664,0.0,0
41,0.371137640449438,0.1810409402040552,0.0050704836688993,0.2039544908487031,0.0744466800804829,0.2889507284334588,-0.0289855072463768,0.0206236981840585,0.0153217568947905,1.7921348314606742,1.7921348314606742,0.4851485148514852,0.0,0
42,-0.1212207916070578,0.8609442060085837,-0.2845233450383665,0.1170922140588249,0.2896678966789668,0.4426390136359925,-0.2130177514792898,0.0618444912203965,-0.6123032904148783,0.0,0.0,0.9375,0.0,2
43,0.9869497205522388,-0.0229345025171809,0.0624072111362907,0.2317866217813945,0.1105444104424043,0.2933931070438768,-0.0575418137179682,0.0372154021283253,-0.1397398124073579,0.5607960537506376,-0.0603903355347331,0.4631578947368421,0.3506888926688213,0
44,0.4268179502856763,0.3044677276469775,-0.0329944733427223,0.2539205100244448,0.0186684483571765,0.2587012168707912,-0.0570458404074703,0.2114745588529298,-0.0351070709109214,0.4278889828100833,0.3531177691832037,0.4731182795698923,1.7814087477654743,0
45,1.0380931056656888,0.4604622891446532,0.0761768805873937,0.2412019967434658,0.1925593645829046,0.2509195101456062,-0.0603807796917497,0.0163465295100716,-0.0820273819340262,0.4190553045546485,-0.1148821711489941,0.4835164835164836,4.031196079784664,0
46,0.2386474521039289,0.3062559862256251,0.0526792168259906,0.3923552627617814,0.0630871607515657,0.2811498456517038,-0.0709964979305954,0.146584178532629,0.0633509878997291,0.3587262623163206,-0.5658507800882763,0.5180722891566263,0.0,0
47,0.287833532457189,-0.1216216216216216,-0.089605734767025,0.259343036978757,-0.0461538461538461,0.3527177252667449,-0.1712626995645864,0.6997518610421833,-0.4758064516129032,1.0967741935483872,0.0,0.0,0.0,2
48,0.6963485318274398,0.1937642039100704,-0.0297819954127154,0.2280236339788034,0.011128038683182,0.2629627100122936,-0.0579661016949153,0.1550126816332719,0.0087743203406486,0.3486287705088882,-0.1099050114641337,0.4878048780487805,-0.0110055682934817,0
49,0.9607984813769032,0.1449870841351571,-0.1104054544279957,0.3046826511329554,-0.0238780207134637,0.2904277888603908,-0.0527926549349655,0.171728558797524,-0.0267609784851164,1.0489242558208074,0.434246979074565,0.5000000000000001,0.0244621279104036,0
