codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab,cluster
56,1334,0.1229385307346326,0.0322338830584707,0.2916041979010494,0.0712143928035982,8238.0,33.7,121.43928035982007,1.4992503748125936,0.0,0.0,8.0,0.0,1
57,10068,0.2794000794596742,0.0242352006356773,0.3070123162495033,0.0703218116805721,8606.8,33.239999999999995,42.70957489074294,2.284465633690901,0.0993245927691696,0.3972983710766786,8.0,0.4966229638458482,1
58,2482,0.1031426269137791,0.0128928283642224,0.2788074133763094,0.0463336019339242,8036.5,33.45,80.58017727639002,2.417405318291701,0.0,0.0,4.8,0.0,1
59,12560,0.1264331210191083,0.0191878980891719,0.2593949044585987,0.0976114649681528,10603.0,30.6,38.61464968152866,3.7420382165605095,0.3980891719745223,1.1146496815286624,8.8,0.0796178343949044,1
60,56491,0.0699580464144731,0.0155245968384344,0.2518808305747818,0.1951284275371298,14494.53846153846,29.012820512820515,10.426439609849355,4.053743074118001,1.2568373723247952,1.1506257633959391,10.0,0.4779522401798516,1
61,28899,0.1202809785805737,0.0217308557389529,0.2642998027613412,0.1883110142219454,13587.65,29.67,17.57846292259248,3.633343714315374,1.0034949306204368,0.9342883836810962,9.7,0.7266687428630748,1
62,14046,0.1257297451231667,0.0244909582799373,0.2489676776306421,0.1972803645165883,13508.0,31.877777777777776,27.69471735725473,5.481987754520859,0.8543357539513029,2.420617969528692,9.5,0.2847785846504343,1
63,21966,0.1314303924246562,0.0280433397068196,0.255986524628972,0.2035873622871711,13758.0,30.9,19.621232814349447,3.5964672675953744,0.4552490212146043,1.638896476372576,9.7,0.5007739233360649,1
64,38168,0.1509641584573464,0.0424701320477887,0.2815971494445609,0.238681618109411,14214.36,32.496,13.099979040033537,5.082791867533012,0.6025990358415426,1.9911968140850973,10.6,7.073988681618109,2
65,26932,0.1325189365810188,0.039098470221298,0.2673028367740977,0.2109757908807366,13820.764705882351,31.294117647058822,19.15936432496658,4.901232734293777,0.3341749591563939,0.9653943264518046,10.3,1.8565275508688548,1
66,14713,0.1974444368925439,0.0850948141099707,0.3183579147692517,0.2794807313260382,14729.111111111111,33.28888888888889,35.00305851967648,9.24352613335146,0.3398355196085094,4.417861754910623,11.5,6.864677496091892,2
67,9331,0.1612903225806451,0.1070624799056907,0.2353445504233201,0.4280355803236523,21652.0,34.96,52.834637230736256,5.465652127317544,0.5358482477762297,0.9645268459972136,14.3,11.8958311006323,3
68,33437,0.1661632323473996,0.0795226844513562,0.2776863953105841,0.2487663366928851,14480.4,32.72,17.196518826449744,8.164608068905702,0.7177677423213805,1.7645123665400604,11.7,12.142237640936688,2
69,13374,0.167713473904591,0.0844922984896067,0.2697024076566472,0.3066397487662629,16139.57142857143,32.41428571428571,37.75983251084193,5.383580080753701,0.5234036189621654,0.4486316733961417,12.5,10.841932107073427,2
70,22844,0.2411136403431973,0.0264402031167921,0.2874277709683068,0.0835668009105235,9490.0,32.15384615384615,21.93136053230608,3.1080371213447733,0.2188758536158291,0.4377517072316582,8.4,1.3132551216949746,1
71,20163,0.1244358478401032,0.03873431533006,0.2800674502802162,0.1867281654515697,12927.5,30.683333333333334,23.657193869959823,4.36442989634479,0.6447453255963894,1.7358527996825868,10.0,1.7854485939592324,1
72,25971,0.1041161295290901,0.0233722228639636,0.2358014708713565,0.150051981055793,12881.166666666666,28.327777777777776,18.09710831311848,3.773439605714066,0.7315852296792575,0.8085942012244427,9.4,0.3465403719533325,1
