Codi_Incident,Descripcio_Incident,Codi_districte,Nom_districte,Codi_barri,Nom_barri,NK_Any,Mes_any,Nom_mes,Numero_incidents_GUB
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,2,febrer,9
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,3,març,2
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,4,abril,5
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,6,juny,11
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,7,juliol,5
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,8,agost,4
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,9,setembre,5
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,10,octubre,1
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,11,novembre,4
000,INCENDIS,04,Les Corts,21,Pedralbes,2025,12,desembre,5
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,1,gener,3
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,3,març,5
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,4,abril,2
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,5,maig,5
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,6,juny,9
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,7,juliol,5
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,8,agost,7
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,10,octubre,3
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,11,novembre,3
000,INCENDIS,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2025,12,desembre,2
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,1,gener,8
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,2,febrer,4
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,3,març,9
000,INCENDIS,05,Sarrià-Sant Gervasi,23,Sarrià,2025,4,abril,5
