codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_pob_pct,delta_renda_pct,delta_gini_pct,delta_pct_total_incidents_1000_hab,delta_pct_locals_restauracio_1000_hab,delta_pct_locals_sanitaris_1000_hab,delta_pct_locals_serveis_professionals_1000_hab,delta_pct_preu_mitja_m2,delta_pct_pisos_turistics_1000_hab
30,0.057746476583088846,0.013672935540262117,-0.015012288687779873,0.0607199106570851,0.020499243570347957,0.2926021281872617,-0.04697380307136412,0.12585695428157775,-0.1034842771461511,-0.1670743458602032,-0.48425656090415053,0.35398230088495575,0.03590753624109208
31,0.07567880965396712,0.028230157231884864,-0.005533653613111922,0.08094595358832796,-0.007791280902440475,0.3658794188870743,-0.05683794466403156,0.11489561524204736,-0.041870809715273,0.21182260268237724,-0.5324395796530177,0.42276422764227634,-2.1385719709177687e-05
32,0.089273746318697,0.03063348934525001,0.008843911004467409,0.06376877275503218,0.04145902751157373,0.2882766568400313,-0.06143678864276096,0.10746001778357701,-0.13647216519959682,0.2875293751238711,-0.16173766806570672,0.4778761061946901,-0.06903181807550307
33,0.06177385881460362,0.018691938571653723,-0.0006204688893668986,0.06643713332011103,0.009617649367983042,0.28577221168997013,-0.0704156479217605,0.1992389737655567,-0.14977013309605144,-0.009526031338698933,-0.14547343880201472,0.4622641509433963,-0.07783458090154745
34,0.07002670150200696,0.015308663069512632,0.008081362858751051,0.06181934458453622,0.06765639165911151,0.30617912520249946,-0.04616724738675953,0.14477113776551204,0.04682280512247362,-0.06336906910094472,-0.4236117348313507,0.4851485148514852,0.44097066292162346
35,0.0599312776191413,0.016465399181516245,0.0017490706045990012,0.06544846591190523,0.05005030181086519,0.2707501382318608,-0.0659499939606233,0.11492916605812768,-0.20191616766467055,-0.04766467065868267,-0.45414926245070836,0.43269230769230765,0.30505211798624987
36,0.0406955502253572,0.012933202670747806,-0.0068134539769490465,0.0626345058041875,0.032982232152356634,0.31594039633365756,-0.057405784399649495,0.2633629175031141,-0.2900813678030693,0.9361417241734473,-0.4191574827479658,0.3596491228070175,0.9361417241734473
37,0.0807949446429076,0.010691486495883973,-0.011675938959289922,0.04974035186452355,0.033800756780819737,0.30052462610602143,-0.04227090404196262,0.09211784829819675,-0.1351160838351088,1.0555218073326775,-0.19947223730654356,0.4835164835164836,0.19052846759539682
38,0.07359285293127171,0.006467874634253773,0.0028422676790452184,0.057678915596665936,0.06399647887323943,0.3016148880588959,-0.02748154224774412,0.2761578661202552,-0.1944119419919867,0.8797054686853645,-0.5972059709959933,0.5368421052631579,-0.47785959203184325
39,0.10021032713379185,0.012266487168171147,0.028710827339444855,0.043606187097162186,0.09879482219907752,0.2088957247787055,-0.07951653944020357,0.09902441728333476,-0.15058451816745655,1.7302640487474612,4.460528097494923,0.44578313253012036,-0.08991198375084637
40,0.08105644269751855,0.015501223941261865,0.048045493516749804,0.07815644992852194,0.02638365403689744,0.23684210526315788,-0.005957446808510663,0.1352140698874367,0.1241860188516548,1.1921627367607266,-0.02570545032856605,0.36633663366336644,
41,0.03041332777050454,0.004801707761036767,0.0010563894089768433,0.04943107744183861,0.0744466800804829,0.2889507284334588,-0.028985507246376836,0.020623698184058528,0.015321756894790583,1.7921348314606742,1.7921348314606742,0.4851485148514852,inf
42,-0.020128913735489307,0.015884579446652836,-0.11548918064287939,0.025492400846755248,0.2896678966789668,0.4426390136359925,-0.21301775147928984,0.06184449122039658,-0.6123032904148783,,,0.9375,
43,0.09836311771569783,-0.0005805325734448315,0.014813725776165132,0.042409709822331554,0.11054441044240432,0.29339310704387683,-0.057541813717968245,0.037215402128325345,-0.13973981240735797,0.5607960537506376,-0.06039033553473312,0.46315789473684216,0.3506888926688213
44,0.05171670101912984,0.00618652001232068,-0.008157845928276453,0.04573642892006094,0.018668448357176546,0.2587012168707912,-0.05704584040747035,0.21147455885292984,-0.035107070910921474,0.42788898281008336,0.3531177691832037,0.4731182795698923,1.7814087477654745
45,0.1390162132530619,0.007409389483335093,0.019004249151025998,0.032598352084675986,0.19255936458290465,0.2509195101456062,-0.0603807796917497,0.016346529510071667,-0.08202738193402626,0.41905530455464857,-0.11488217114899414,0.4835164835164836,4.031196079784664
46,0.04831178522171786,0.004935101030645185,0.0135925301765914,0.04200515306576744,0.06308716075156576,0.28114984565170387,-0.07099649793059547,0.14658417853262906,0.06335098789972914,0.35872626231632065,-0.5658507800882763,0.5180722891566263,inf
47,0.0204962779156328,-0.0019780219780219776,-0.023041474654377864,0.018695498050336767,-0.046153846153846156,0.3527177252667449,-0.1712626995645864,0.6997518610421833,-0.4758064516129032,1.0967741935483872,,0.0,
48,0.049076958194634424,0.0029134579245933614,-0.006338315642912817,0.03362128960964539,0.011128038683182089,0.2629627100122936,-0.057966101694915395,0.15501268163327192,0.00877432034064862,0.34862877050888824,-0.10990501146413376,0.48780487804878053,-0.011005568293481765
49,0.03855908750059778,0.0014181705582840456,-0.02448866667548466,0.029802100513580218,-0.023878020713463753,0.29042778886039083,-0.05279265493496553,0.17172855879752408,-0.02676097848511644,1.0489242558208074,0.43424697907456505,0.5000000000000001,0.02446212791040368
50,0.06839675273585588,-0.0003336278198591315,-0.013166196510020323,0.034249287298067796,0.07292207792207792,0.2761424657534246,-0.10206637445209772,0.054305938976152504,-0.08822747737672659,1.174746313219956,-0.21135573256858736,0.5632183908045978,-0.37864391050858404
51,0.07283869720339997,0.0058330619069166326,-0.007091240844785018,0.032362493738111245,0.04482250940618354,0.2725417110401136,-0.08280757097791798,0.27244556545946363,-0.270780678014121,0.2761338134752884,-0.32439974580720027,0.5934065934065935,0.43565054015969956
52,0.05708958803018216,0.006417559635381417,-0.013089839822513077,0.03442264704640943,0.026565026565026566,0.2701513591479981,-0.07305708104509902,0.192308201408376,-0.08723962947475844,0.3330096167511488,-0.28431822774114146,0.44791666666666674,-0.26940819081908185
53,0.06652849216516421,0.004210307778471601,0.009364000311862741,0.031816650465540955,0.03940013633265167,0.36506261094851966,-0.1089542892924233,0.10482152946738454,0.38969045120671575,inf,,0.534090909090909,
54,0.04750183753387893,0.010658692113949254,-0.03009884227276244,0.025052064497003576,0.07498171177761521,0.4472147496883407,-0.1231003039513677,0.1520768445572801,1.790745151412044,inf,,0.26229508196721324,
