Territori,Tipus de territori,Temps,Activitats immobiliàries,Ensenyament,Equipaments culturals i recreatius,Finances i assegurances,"Manteniment, neteja i producció",Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
Vallcarca i els Penitents,Barri,31 Des. 2014,2,35,2,6,1,13,39,17
Vallcarca i els Penitents,Barri,31 Des. 2016,2,24,10,8,-,21,37,22
Vallcarca i els Penitents,Barri,31 Des. 2019,3,31,7,5,1,20,40,20
Vallcarca i els Penitents,Barri,31 Des. 2022,3,29,6,5,2,17,42,22
Vallcarca i els Penitents,Barri,31 Des. 2024,2,30,6,5,2,15,37,23
el Coll,Barri,31 Des. 2014,-,5,2,2,-,2,14,2
el Coll,Barri,31 Des. 2016,1,2,3,4,-,3,11,3
el Coll,Barri,31 Des. 2019,1,1,2,4,-,2,7,3
el Coll,Barri,31 Des. 2022,2,1,3,2,-,3,7,2
el Coll,Barri,31 Des. 2024,1,1,3,2,-,3,7,2
la Salut,Barri,31 Des. 2014,4,21,1,8,10,9,47,20
la Salut,Barri,31 Des. 2016,2,14,6,9,2,10,47,18
la Salut,Barri,31 Des. 2019,2,12,7,7,1,10,49,18
la Salut,Barri,31 Des. 2022,4,12,6,8,2,8,43,17
la Salut,Barri,31 Des. 2024,2,14,5,9,2,7,47,18
la Vila de Gràcia,Barri,31 Des. 2014,24,136,19,57,48,49,527,84
la Vila de Gràcia,Barri,31 Des. 2016,34,107,127,48,6,77,462,87
la Vila de Gràcia,Barri,31 Des. 2019,36,135,69,45,7,50,505,108
la Vila de Gràcia,Barri,31 Des. 2022,39,134,43,32,3,42,501,101
la Vila de Gràcia,Barri,31 Des. 2024,37,143,47,32,5,44,504,102
el Camp d'en Grassot i Gràcia Nova,Barri,31 Des. 2014,22,46,2,32,16,47,149,44
el Camp d'en Grassot i Gràcia Nova,Barri,31 Des. 2016,19,38,23,37,2,57,136,48
el Camp d'en Grassot i Gràcia Nova,Barri,31 Des. 2019,24,46,14,26,2,54,136,53
el Camp d'en Grassot i Gràcia Nova,Barri,31 Des. 2022,21,37,8,17,5,50,134,59
el Camp d'en Grassot i Gràcia Nova,Barri,31 Des. 2024,22,41,10,14,6,51,131,62
el Baix Guinardó,Barri,31 Des. 2014,9,31,2,16,9,42,113,23
el Baix Guinardó,Barri,31 Des. 2016,11,23,11,19,10,34,94,24
el Baix Guinardó,Barri,31 Des. 2019,12,27,8,15,8,37,108,26
el Baix Guinardó,Barri,31 Des. 2022,10,24,6,14,6,38,97,23
el Baix Guinardó,Barri,31 Des. 2024,9,25,4,12,5,33,100,26
Can Baró,Barri,31 Des. 2014,-,6,-,4,1,12,17,1
Can Baró,Barri,31 Des. 2016,1,3,4,1,-,8,16,1
Can Baró,Barri,31 Des. 2019,-,3,2,1,-,7,19,2
Can Baró,Barri,31 Des. 2022,-,5,2,-,-,8,19,1
Can Baró,Barri,31 Des. 2024,-,4,3,-,-,8,17,1
el Guinardó,Barri,31 Des. 2014,13,47,-,28,24,58,142,29
el Guinardó,Barri,31 Des. 2016,20,35,17,29,15,44,119,25
